# timestamps [seconds],pts
448965.105478,488884
448965.113547,489412
448965.121616,489941
448965.129686,490470
448965.137755,490999
448965.145824,491528
448965.153893,492057
448965.161962,492585
448965.170031,493114
448965.178100,493643
448965.186170,494172
448965.194239,494701
448965.202308,495229
448965.210377,495758
448965.218446,496287
448965.226515,496816
448965.234584,497345
448965.242654,497873
448965.250723,498402
448965.258792,498931
448965.266861,499460
448965.274930,499989
448965.282999,500517
448965.291068,501046
448965.299138,501575
448965.307207,502104
448965.315276,502633
448965.323345,503162
448965.331414,503690
448965.339483,504219
448965.347553,504748
448965.355622,505277
448965.363691,505806
448965.371760,506334
448965.379829,506863
448965.387898,507392
448965.395967,507921
448965.404037,508450
448965.412106,508979
448965.420175,509507
448965.428244,510036
448965.436313,510565
448965.444382,511094
448965.452451,511623
448965.460521,512151
448965.468590,512680
448965.476659,513209
448965.484728,513738
448965.492797,514267
448965.500866,514795
448965.508935,515324
448965.517005,515853
448965.525074,516382
448965.533143,516911
448965.541212,517439
448965.549281,517968
448965.557350,518497
448965.565420,519026
448965.573489,519555
448965.581558,520084
448965.589627,520612
448965.597696,521141
448965.605765,521670
448965.613834,522199
448965.621904,522728
448965.629973,523256
448965.638042,523785
448965.646111,524314
448965.654180,524843
448965.662249,525372
448965.670318,525900
448965.678388,526429
448965.686457,526958
448965.694526,527487
448965.702595,528016
448965.710664,528545
448965.718733,529073
448965.726802,529602
448965.734872,530131
448965.742941,530660
448965.751010,531189
448965.759079,531717
448965.767148,532246
448965.775217,532775
448965.783287,533304
448965.791356,533833
448965.799425,534361
448965.807494,534890
448965.815563,535419
448965.823632,535948
448965.831701,536477
448965.839771,537006
448965.847840,537534
448965.855909,538063
448965.863978,538592
448965.872047,539121
448965.880116,539650
448965.888185,540178
448965.896255,540707
448965.904324,541236
448965.912393,541765
448965.920462,542294
448965.928531,542822
448965.936600,543351
448965.944670,543880
448965.952739,544409
448965.960808,544938
448965.968877,545466
448965.976946,545995
448965.985015,546524
448965.993084,547053
448966.001154,547582
448966.009223,548111
448966.017292,548639
448966.025361,549168
448966.033430,549697
448966.041499,550226
448966.049568,550755
448966.057638,551283
448966.065707,551812
448966.073776,552341
448966.081845,552870
448966.089914,553399
448966.097983,553927
448966.106052,554456
448966.114122,554985
448966.122191,555514
448966.130260,556043
448966.138329,556572
448966.146398,557100
448966.154467,557629
448966.162537,558158
448966.170606,558687
448966.178675,559216
448966.186744,559744
448966.194813,560273
448966.202882,560802
448966.210951,561331
448966.219021,561860
448966.227090,562388
448966.235159,562917
448966.243228,563446
448966.251297,563975
448966.259366,564504
448966.267435,565032
448966.275505,565561
448966.283574,566090
448966.291643,566619
448966.299712,567148
448966.307781,567677
448966.315850,568205
448966.323919,568734
448966.331989,569263
448966.340058,569792
448966.348127,570321
448966.356196,570849
448966.364265,571378
448966.372334,571907
448966.380404,572436
448966.388473,572965
448966.396542,573494
448966.404611,574022
448966.412680,574551
448966.420749,575080
448966.428818,575609
448966.436887,576138
448966.444957,576666
448966.453026,577195
448966.461095,577724
448966.469164,578253
448966.477233,578782
448966.485302,579310
448966.493372,579839
448966.501441,580368
448966.509510,580897
448966.517579,581426
448966.525648,581954
448966.533717,582483
448966.541786,583012
448966.549856,583541
448966.557925,584070
448966.565994,584599
448966.574063,585127
448966.582132,585656
448966.590201,586185
448966.598270,586714
448966.614409,587771
448966.622478,588300
448966.630547,588829
448966.638616,589358
448966.646685,589887
448966.654755,590416
448966.670893,591473
448966.678962,592002
448966.687031,592531
448966.695100,593060
