# timestamps [seconds],pts
448962.254196,302018
448962.262265,302547
448962.270334,303075
448962.278403,303604
448962.286473,304133
448962.294542,304662
448962.302611,305191
448962.310680,305720
448962.318749,306248
448962.326818,306777
448962.334887,307306
448962.342957,307835
448962.351026,308364
448962.359095,308892
448962.367164,309421
448962.375233,309950
448962.383302,310479
448962.391372,311008
448962.399441,311537
448962.407510,312065
448962.415579,312594
448962.423648,313123
448962.431717,313652
448962.439787,314181
448962.447856,314709
448962.455925,315238
448962.463994,315767
448962.472063,316296
448962.480132,316825
448962.488202,317353
448962.496271,317882
448962.504340,318411
448962.512409,318940
448962.520478,319469
448962.528547,319997
448962.536617,320526
448962.544686,321055
448962.552755,321584
448962.560824,322113
448962.568893,322642
448962.576962,323170
448962.585032,323699
448962.593101,324228
448962.601170,324757
448962.609239,325286
448962.617308,325814
448962.625377,326343
448962.633447,326872
448962.641516,327401
448962.649585,327930
448962.657654,328458
448962.665723,328987
448962.673792,329516
448962.681862,330045
448962.689931,330574
448962.698000,331103
448962.706069,331631
448962.714138,332160
448962.722207,332689
448962.730277,333218
448962.738346,333747
448962.746415,334275
448962.754484,334804
448962.762553,335333
448962.770622,335862
448962.778691,336391
448962.786761,336920
448962.794830,337448
448962.802899,337977
448962.810968,338506
448962.819037,339035
448962.827106,339564
448962.835176,340092
448962.843245,340621
448962.851314,341150
448962.859383,341679
448962.867452,342208
448962.875521,342736
448962.883591,343265
448962.891660,343794
448962.899729,344323
448962.907798,344852
448962.915867,345380
448962.923936,345909
448962.932006,346438
448962.940075,346967
448962.948144,347496
448962.956213,348025
448962.964282,348553
448962.972351,349082
448962.980421,349611
448962.988490,350140
448962.996559,350669
448963.004628,351197
448963.012697,351726
448963.020766,352255
448963.028836,352784
448963.036905,353313
448963.044974,353842
448963.053043,354370
448963.061112,354899
448963.069181,355428
448963.077251,355957
448963.085320,356486
448963.093389,357014
448963.101458,357543
448963.109527,358072
448963.117596,358601
448963.125665,359130
448963.133735,359658
448963.141804,360187
448963.149873,360716
448963.166011,361774
448963.174080,362302
448963.190219,363360
448963.198288,363889
448963.206357,364418
448963.214426,364947
448963.222495,365475
448963.230565,366004
448963.238634,366533
448963.246703,367062
448963.262841,368119
448963.270910,368648
448963.278980,369177
448963.287049,369706
448963.295118,370235
448963.303187,370763
448963.311256,371292
448963.319325,371821
448963.327395,372350
448963.335464,372879
448963.343533,373408
448963.351602,373936
448963.359671,374465
448963.367740,374994
448963.375810,375523
448963.383879,376052
448963.391948,376580
448963.400017,377109
448963.408086,377638
448963.416155,378167
448963.424225,378696
448963.432294,379225
448963.440363,379753
448963.448432,380282
448963.456501,380811
448963.464570,381340
448963.472639,381869
448963.488778,382926
448963.496847,383455
448963.504916,383984
448963.512985,384513
448963.521055,385041
448963.529124,385570
448963.537193,386099
448963.545262,386628
448963.553331,387157
448963.561400,387685
448963.569469,388214
448963.577539,388743
448963.585608,389272
448963.593677,389801
448963.601746,390330
448963.609815,390858
448963.617884,391387
448963.625954,391916
448963.634023,392445
448963.642092,392974
448963.650161,393502
448963.658230,394031
448963.666299,394560
448963.674369,395089
448963.682438,395618
448963.690507,396147
448963.698576,396675
448963.706645,397204
448963.714714,397733
448963.722784,398262
448963.730853,398791
448963.738922,399319
448963.746991,399848
448963.755060,400377
448963.763129,400906
448963.771199,401435
448963.779268,401963
448963.787337,402492
448963.795406,403021
448963.803475,403550
448963.811544,404079
448963.819614,404608
448963.827683,405136
448963.835752,405665
448963.843821,406194
448963.851890,406723
448963.859959,407252
448963.876098,408309
448963.884167,408838
448963.892236,409367
448963.900305,409896
448963.908374,410424
448963.916443,410953
448963.924513,411482
448963.932582,412011
448963.940651,412540
448963.948720,413069
448963.956789,413597
448963.964858,414126
448963.972928,414655
448963.980997,415184
448963.989066,415713
448963.997135,416241
448964.005204,416770
448964.013273,417299
448964.021343,417828
448964.029412,418357
448964.037481,418885
448964.045550,419414
448964.053619,419943
448964.061688,420472
448964.069758,421001
448964.077827,421530
448964.085896,422058
448964.093965,422587
448964.102034,423116
448964.110103,423645
448964.118173,424174
448964.126242,424702
448964.134311,425231
448964.142380,425760
448964.150449,426289
448964.158518,426818
448964.166588,427346
448964.174657,427875
448964.182726,428404
448964.190795,428933
448964.198864,429462
448964.206933,429990
448964.215003,430519
448964.223072,431048
448964.231141,431577
448964.239210,432106
448964.247279,432635
448964.255348,433163
448964.263418,433692
448964.271487,434221
448964.279556,434750
448964.287625,435279
448964.295694,435807
448964.303763,436336
448964.311832,436865
448964.319902,437394
448964.327971,437923
448964.336040,438452
448964.344109,438980
448964.352178,439509
448964.360247,440038
448964.368317,440567
448964.376386,441096
448964.384455,441624
448964.392524,442153
448964.400593,442682
448964.408662,443211
448964.416732,443740
448964.424801,444268
448964.432870,444797
448964.440939,445326
448964.449008,445855
448964.457077,446384
448964.465147,446913
448964.473216,447441
448964.481285,447970
448964.489354,448499
448964.497423,449028
448964.505492,449557
